"","orig.ident","nCount_WF","nFeature_WF","cType","area.cType$X3"
"115","SeuratProject",-0.87923430999264,27,"Juxt","HIP_Juxt"
"116","SeuratProject",0.109721261128521,33,"Juxt","HIP_Juxt"
"117","SeuratProject",-0.695073885044286,32,"Juxt","HIP_Juxt"
"118","SeuratProject",0.116579109542527,33,"Juxt","HIP_Juxt"
"119","SeuratProject",-0.3040272266058,34,"Juxt","HIP_Juxt"
"120","SeuratProject",-0.782288028336367,31,"Juxt","HIP_Juxt"
"121","SeuratProject",-1.68017002428662,25,"Juxt","HIP_Juxt"
"122","SeuratProject",-0.114521933353433,29,"Juxt","HIP_Juxt"
"123","SeuratProject",-0.892856781977331,26,"Juxt","HIP_Juxt"
"124","SeuratProject",-0.649733276466768,27,"Juxt","HIP_Juxt"
"125","SeuratProject",-1.2136141123165,26,"Juxt","HIP_Juxt"
"126","SeuratProject",-1.15330055615585,32,"Juxt","HIP_Juxt"
"127","SeuratProject",1.00065579494355,35,"Juxt","HIP_Juxt"
"128","SeuratProject",0.526161251545099,34,"Juxt","HIP_Juxt"
"129","SeuratProject",0.364017415115658,33,"Juxt","HIP_Juxt"
"130","SeuratProject",0.124876348576145,35,"Juxt","HIP_Juxt"
"131","SeuratProject",-0.907350573491997,29,"Pyra","VIS_Pyra"
"132","SeuratProject",-0.749961022126326,30,"Pyra","VIS_Pyra"
"133","SeuratProject",-0.706380620689162,32,"Pyra","VIS_Pyra"
"134","SeuratProject",-0.67178209429326,31,"Pyra","VIS_Pyra"
"135","SeuratProject",0.421452772874973,30,"Pyra","VIS_Pyra"
"136","SeuratProject",-0.893739630314875,28,"Pyra","VIS_Pyra"
"137","SeuratProject",-0.772676320942126,30,"Pyra","VIS_Pyra"
"138","SeuratProject",-0.629966344042119,27,"Pyra","VIS_Pyra"
"139","SeuratProject",-0.179607150307966,31,"Pyra","VIS_Pyra"
"140","SeuratProject",-0.807064462401773,29,"Pyra","VIS_Pyra"
"141","SeuratProject",-0.179888331984194,31,"Pyra","VIS_Pyra"
"142","SeuratProject",-0.542329942093245,31,"Pyra","VIS_Pyra"
"143","SeuratProject",-0.451707825096155,29,"Pyra","VIS_Pyra"
"144","SeuratProject",-0.949727020153858,28,"Pyra","VIS_Pyra"
"145","SeuratProject",-0.729807223263281,32,"Pyra","VIS_Pyra"
"146","SeuratProject",-1.20110372739623,29,"Pyra","VIS_Pyra"
"147","SeuratProject",-0.826437273653718,31,"Pyra","VIS_Pyra"
"148","SeuratProject",-0.510810405322842,30,"Pyra","VIS_Pyra"
"149","SeuratProject",-0.667110520793462,31,"Pyra","VIS_Pyra"
"150","SeuratProject",-0.24894412831981,33,"Pyra","VIS_Pyra"
"151","SeuratProject",-0.400704058130998,31,"Pyra","VIS_Pyra"
"152","SeuratProject",-0.313091124562171,34,"Pyra","VIS_Pyra"
"153","SeuratProject",0.0954716893051265,30,"Pyra","VIS_Pyra"
"154","SeuratProject",-0.510040596447284,29,"Pyra","VIS_Pyra"
"155","SeuratProject",-0.342769825970031,30,"Pyra","VIS_Pyra"
"156","SeuratProject",-0.468737739790587,30,"Pyra","VIS_Pyra"
"157","SeuratProject",-0.204740816027613,32,"Pyra","VIS_Pyra"
"158","SeuratProject",-0.301165007786499,31,"Pyra","VIS_Pyra"
"159","SeuratProject",-0.7624312053228,31,"Pyra","VIS_Pyra"
"160","SeuratProject",-0.984480627414657,31,"Pyra","VIS_Pyra"
"161","SeuratProject",0.24709751094226,33,"Pyra","VIS_Pyra"
"162","SeuratProject",-0.851900382512386,29,"Pyra","VIS_Pyra"
"163","SeuratProject",-0.494463679875297,30,"Pyra","VIS_Pyra"
"164","SeuratProject",-0.758003839257879,32,"Pyra","VIS_Pyra"
"165","SeuratProject",-0.56908528381635,31,"Pyra","VIS_Pyra"
"166","SeuratProject",-0.629207482652816,31,"Pyra","VIS_Pyra"
