0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label,label_name
-0.54387677,1.3335088,-1.2070781,0.6990878,1.0678403,0.08626029,-1.2364225,-0.9457321,1.1251211,-0.378709,1.1954161,2.1736786,-0.88807505,0.2998085,-0.19963071,0.029807027,-0.48967648,-0.4045618,-0.7007418,-1.0160242,0,PV
-0.5410557,1.2676065,-1.2333972,0.77636486,1.0759495,0.11214918,-1.2112066,-0.95664483,1.1205481,-0.4103139,1.0049391,2.1578486,-0.7126673,0.7498529,-0.61032176,-0.36233908,-0.36449203,-0.12743425,-0.6386164,-1.0967703,0,PV
0.037272513,1.6369684,-0.72083765,0.4258484,1.2784064,-0.027267858,-1.5427072,-0.9711681,0.51315373,-0.6296705,1.1528561,2.1813796,-0.781167,0.44031182,-0.3291342,-0.10200202,-0.45916247,-0.3187388,-0.6856352,-1.0987065,0,PV
1.1442806,1.1723901,-0.078286655,0.6013023,0.881413,0.3392934,-1.8163127,-0.9768767,-0.6229176,-0.64429444,1.1980345,2.1715438,-0.8994145,0.29258427,-0.19291036,0.037140537,-0.4879913,-0.40831903,-0.7005557,-1.0101122,0,PV
-0.5322019,1.4651577,-1.1495234,0.61467534,1.0386386,-0.03308395,-1.2133093,-0.9183258,1.1419857,-0.41401276,0.369958,2.0569603,-0.48369318,1.0845,-1.1812662,-0.827651,-0.06861411,0.39109403,-0.46526298,-0.876024,0,PV
-0.5363744,1.4420633,-1.1728792,0.64366424,1.0421312,-0.009075817,-1.2020537,-0.9277783,1.1320201,-0.4117184,-1.0378511,-0.22337069,0.4492817,1.1646312,-1.5053658,-1.3695014,0.78663605,1.1794752,0.34333095,0.21273355,0,PV
-0.55465204,1.3647879,-1.1893958,0.71715975,1.0588685,0.056796357,-1.22827,-0.94766283,1.1057264,-0.38335854,1.0964468,2.1988485,-0.735991,0.49840623,-0.34711766,-0.10010933,-0.50526357,-0.31583986,-0.68698955,-1.1023909,0,PV
-0.54421717,1.2911903,-1.2140605,0.7691661,1.0769544,0.07283309,-1.2076275,-0.95432204,1.1247028,-0.4146194,1.1649817,2.186355,-0.7846188,0.38695738,-0.27104193,-0.05418628,-0.49306145,-0.36163598,-0.6946213,-1.0791278,0,PV
-0.54488015,1.292737,-1.2179775,0.7574479,1.0748678,0.08898129,-1.2175179,-0.954634,1.1213763,-0.40040106,1.1891365,2.1789846,-0.85953057,0.31405228,-0.21371914,0.014962558,-0.49539295,-0.39792415,-0.7017809,-1.0287882,0,PV
-0.54670674,1.3517736,-1.1968194,0.72739464,1.063845,0.038064774,-1.2070887,-0.94477755,1.1234255,-0.4091108,-1.0183125,-0.49469596,0.49976775,1.1436108,-1.4648999,-1.3354727,0.80172783,1.1476824,0.43682444,0.2837681,0,PV
-0.4797857,1.5435103,-1.0297203,0.44690642,1.0621452,-0.13255502,-1.2360955,-0.8928466,1.195409,-0.47696877,-1.039751,-0.2238253,0.43449748,1.1494364,-1.506813,-1.376006,0.79874295,1.1715007,0.36387676,0.22834177,0,PV
0.08002088,1.6304238,-0.7068833,0.43380147,1.2726138,-0.007959713,-1.573435,-0.9677079,0.4685363,-0.62940943,1.1963942,2.1730764,-0.8916791,0.29653004,-0.1968889,0.033191126,-0.48984587,-0.4063395,-0.7010437,-1.0133946,0,PV
-0.54489374,1.2729532,-1.2226053,0.7771803,1.0793557,0.089561574,-1.2104532,-0.95583713,1.1243865,-0.4096475,1.1360323,2.1905105,-0.77192515,0.46729168,-0.36008498,-0.1438488,-0.43821496,-0.302388,-0.68434525,-1.0930287,0,PV
-0.43023497,1.6517406,-0.94713587,0.30711776,1.2762797,-0.1282476,-1.227713,-0.88593435,0.9282667,-0.54413974,-1.0148549,0.09634286,0.3202079,1.3731723,-1.4852947,-1.3225309,0.5614621,1.2956191,0.1516953,0.024180455,0,PV
-0.47478244,1.5211688,-1.0340552,0.44994834,1.084378,-0.124351315,-1.2280883,-0.8996519,1.1986398,-0.4932062,1.0181422,2.164062,-0.7047986,0.720383,-0.5772334,-0.32541344,-0.3937818,-0.14812467,-0.640487,-1.1127483,0,PV
-0.46072912,1.6531299,-0.95045346,0.29088518,1.2690585,-0.1526893,-1.1968181,-0.88234,0.9665643,-0.53660685,1.0808057,2.1969695,-0.75785387,0.55870885,-0.45882025,-0.22686115,-0.39702615,-0.23240104,-0.6695592,-1.0939629,0,PV
-0.5630076,1.477774,-1.1407285,0.657116,1.0312965,-0.005242772,-1.2325075,-0.936926,1.0813739,-0.3691481,0.72258127,2.1804042,-0.50945884,0.91834396,-0.83083075,-0.51528263,-0.32219216,0.07231219,-0.65317243,-1.0627053,0,PV
-0.54131377,1.2699554,-1.2338555,0.76904476,1.0760009,0.11399255,-1.2138668,-0.9554227,1.1217157,-0.4062511,0.99861354,2.1623406,-0.69570893,0.7414702,-0.6013565,-0.33900148,-0.3846752,-0.1273036,-0.63885623,-1.1155245,0,PV
-0.4984775,1.6720855,-1.0442032,0.44038418,0.9781988,-0.15134215,-1.2068025,-0.883394,1.1259773,-0.4324263,-1.0229472,0.07418888,0.33187342,1.325732,-1.4953436,-1.3395499,0.6081765,1.2822077,0.18193626,0.053726245,0,PV
0.21288,1.6328824,-0.64584225,0.39518094,1.2426549,0.018454837,-1.6341797,-0.9793974,0.38434008,-0.6269653,-1.0024284,-0.74412423,0.5184273,1.1004983,-1.4053527,-1.2954433,0.82168794,1.1021353,0.5206408,0.3839586,0,PV
-0.616243,1.651675,-0.8915847,0.18633027,0.97652483,-0.3036831,-1.2109013,-0.83180994,1.3316581,-0.29196623,1.1742216,2.184305,-0.8072115,0.36326683,-0.2540773,-0.03234002,-0.49533188,-0.37205344,-0.69747996,-1.0632994,0,PV
