,embeddings
144,"[ 1.1509286  1.8537339 -0.8998582 -0.6964755  0.7626475  0.6001283
 -0.4727228 -0.8644087 -0.7595218 -0.674451 ]"
145,"[-1.0126925  -0.92858684  1.4431642   1.1688225  -0.9922567  -0.9472239
 -0.10846563  1.3298513   0.01613497  0.03125245]"
146,"[ 1.0853987   1.8838663  -0.87866026 -0.752796    0.7671939   0.63111824
 -0.4709467  -0.8555242  -0.70958865 -0.7000618 ]"
147,"[ 1.0291115   1.8610142  -0.91800225 -0.74080324  0.8476786   0.6688151
 -0.70644414 -0.82609797 -0.61813873 -0.59713346]"
148,"[-0.7760596  -1.2257206   1.2077954   1.7446101  -0.47704217 -0.47260746
 -0.2765198   1.1723237  -0.23735999 -0.6594194 ]"
149,"[ 0.8548937   1.9755375  -0.80708134 -0.6972405   0.8191793   0.7103061
 -0.6851795  -0.8178536  -0.6869485  -0.665613  ]"
150,"[ 1.1710186   1.9063425  -0.99199635 -0.59572345  0.6880037   0.45947945
 -0.2568757  -0.88326687 -0.7961153  -0.7008672 ]"
151,"[ 1.0449498   1.8493204  -0.842914   -0.7194654   0.81495035  0.70892715
 -0.53392065 -0.8597764  -0.7389224  -0.72314966]"
152,"[ 1.0686796   1.8548111  -0.8935898  -0.72247154  0.7888999   0.69423413
 -0.52228445 -0.81367165 -0.7238515  -0.73075575]"
153,"[ 0.8375391   1.9694518  -0.8025675  -0.67770237  0.8524074   0.7061142
 -0.68170905 -0.8073098  -0.69790876 -0.6983156 ]"
154,"[ 1.3863963   0.5016809  -0.9416898  -0.27964795  1.2770329   1.2231947
 -0.39713046 -0.8455224  -0.891063   -1.0332506 ]"
155,"[ 1.1823801   1.8412788  -0.883737   -0.71000886  0.7383408   0.6119987
 -0.48277885 -0.85404545 -0.7582185  -0.6852097 ]"
156,"[ 0.9993473   1.9153554  -0.90964514 -0.79348963  0.7727702   0.662613
 -0.5556138  -0.8838443  -0.7049917  -0.5025006 ]"
157,"[ 1.0577923   1.8588094  -0.86641127 -0.7500489   0.82696414  0.65625715
 -0.50576705 -0.84444016 -0.7502925  -0.6828621 ]"
158,"[ 0.92403364  1.9614247  -0.83945656 -0.7548308   0.7345278   0.7256649
 -0.5533234  -0.8645547  -0.7552992  -0.5781866 ]"
159,"[ 0.97737944  1.9542141  -0.8432632  -0.70985234  0.7821857   0.64000386
 -0.57154804 -0.8082403  -0.7089014  -0.7119783 ]"
160,"[ 1.035578    1.9612503  -0.8365432  -0.6558566   0.78017247  0.54141706
 -0.5193277  -0.8302012  -0.724553   -0.7519366 ]"
161,"[ 0.9396171   1.9333912  -0.83505046 -0.76814353  0.72965723  0.7545058
 -0.61700666 -0.8836634  -0.7735197  -0.47978663]"
162,"[ 1.2118363   1.8325734  -0.923204   -0.66548085  0.72101086  0.5755176
 -0.38127536 -0.8618043  -0.754675   -0.7544992 ]"
163,"[ 1.0176528   1.9310771  -0.85684556 -0.71138906  0.79698175  0.6121621
 -0.53930223 -0.8147674  -0.7209085  -0.71466124]"
164,"[ 1.2189378   1.7711736  -0.93242157 -0.68180877  0.7923084   0.5689668
 -0.3057458  -0.90935564 -0.68149674 -0.8405587 ]"
165,"[ 1.108739    1.9222337  -0.857128   -0.71099114  0.73328286  0.57523865
 -0.5214537  -0.82124835 -0.71746606 -0.711207  ]"
166,"[ 1.129466    1.865803   -0.89088476 -0.7351097   0.73348486  0.6348726
 -0.44233838 -0.8609643  -0.751717   -0.68261236]"
167,"[ 1.1017325   1.8677559  -0.871951   -0.71706605  0.79747987  0.6018269
 -0.44381043 -0.8514836  -0.7179346  -0.7665499 ]"
168,"[ 1.3407713   1.5792407  -0.9803377  -0.8058587   0.77590805  0.72192246
 -0.31159335 -0.99304867 -0.7374933  -0.5895108 ]"
169,"[ 1.257608    1.7866865  -0.959791   -0.77397054  0.72948456  0.5563237
 -0.3275455  -0.9167718  -0.71177727 -0.6402469 ]"
170,"[ 1.2448043   1.7034386  -0.94015074 -0.71395653  0.7879967   0.67817885
 -0.35552618 -0.9052378  -0.7044935  -0.7950541 ]"
171,"[ 1.1548048   1.901834   -0.920712   -0.6717311   0.69341385  0.55424637
 -0.40121394 -0.8638066  -0.78939795 -0.65743715]"
172,"[-0.9954164  -0.92134714  1.4372194   1.1616459  -0.9869586  -0.96607745
 -0.10362662  1.3514599   0.02574249 -0.0026415 ]"
173,"[ 1.0570766   1.8763316  -0.8689666  -0.7706481   0.79371375  0.6421273
 -0.4321415  -0.893279   -0.70741254 -0.69680166]"
174,"[ 1.1081027   1.8841103  -0.8750291  -0.63083667  0.7314649   0.60964566
 -0.37396723 -0.8780447  -0.7819459  -0.7935002 ]"
175,"[ 1.1209338   1.9131304  -0.9505707  -0.6203694   0.7168489   0.5478353
 -0.38971075 -0.8459292  -0.734966   -0.7572026 ]"
176,"[ 1.0100703   1.903995   -0.9140158  -0.7526406   0.7197114   0.73019934
 -0.54035604 -0.85997367 -0.7686246  -0.52836466]"
177,"[ 1.0436167   1.8347617  -0.8845713  -0.73010707  0.7941597   0.72885656
 -0.40882462 -0.8846439  -0.7116792  -0.7815685 ]"
178,"[ 0.9446366   1.9249798  -0.861561   -0.77468103  0.75303286  0.7427252
 -0.53243905 -0.87633926 -0.7546999  -0.5656529 ]"
179,"[ 0.9547874   1.9247125  -0.8558945  -0.7256003   0.8289954   0.6704174
 -0.6767207  -0.83111066 -0.70766306 -0.5819238 ]"
180,"[ 0.80970746  1.9524517  -0.9363192  -0.7867524   0.82260144  0.68622833
 -0.74146444 -0.8875285  -0.7137877  -0.20513694]"
181,"[-0.94391817 -1.1120836   1.4615074   1.3950286  -0.84567595 -0.73155254
 -0.1888261   1.2135202  -0.10395185 -0.14404826]"
182,"[ 1.1503007   1.7932315  -0.9293757  -0.77012235  0.804651    0.65480644
 -0.45292157 -0.89623785 -0.71305895 -0.6412742 ]"
183,"[ 1.1070029   1.9141744  -0.9127426  -0.67715615  0.73657334  0.56517184
 -0.434792   -0.8354367  -0.73156303 -0.7312312 ]"
184,"[ 0.99818885  1.9133596  -0.8575415  -0.72473603  0.8181043   0.6506935
 -0.56311476 -0.8119487  -0.6952637  -0.7277409 ]"
185,"[ 1.3923581   1.709837   -0.92452264 -0.6906292   0.71390224  0.48205924
 -0.2397856  -0.91955215 -0.7519576  -0.77170914]"
