,embeddings
84,"[-0.5473144  -0.22428212  1.4457905  -0.73878545 -1.0402086  -0.97322166
 -0.27376875  1.9287771  -0.01236288  0.435376    0.8960328   1.9740295
 -0.80150753 -0.680045    0.84247285  0.64141953 -0.6522052  -0.8000087
 -0.6955234  -0.7246656 ]"
85,"[-0.30436847  0.28617358 -1.0037317  -0.3088387   1.68256    -0.428517
 -0.11739687 -0.9756992   1.821429   -0.6516107   0.9316      1.9042507
 -0.81499076 -0.70467573  0.801519    0.7565793  -0.51212144 -0.86062473
 -0.7570106  -0.74452555]"
86,"[-0.33778992  0.33919317 -1.0747012  -0.38865164  1.9688903  -0.27013355
 -0.16161731 -1.0252053   1.4717225  -0.52170724  1.2693566   1.6780078
 -0.9564018  -0.83968556  0.7848817   0.6641427  -0.35286888 -0.97709423
 -0.7059236  -0.56441474]"
87,"[ 0.24175148 -0.25904623 -0.05501131 -1.0153391  -0.83684725 -1.689876
  1.1369264   0.6906466   1.571116    0.21567939 -0.9843965  -1.1240629
  1.2197493   1.9510124  -0.40470645 -0.27276832 -0.29750487  0.8309374
 -0.32788295 -0.59037685]"
88,"[-0.2814692  -0.21886738  1.4757177  -0.70756537 -1.4035246  -0.17997834
 -0.26337078  1.7527845  -0.80641145  0.63268435  1.1229806   1.5686573
 -0.88215786 -0.7913342   1.0327941   0.8265227  -0.75244206 -0.86730117
 -0.7146048  -0.5431146 ]"
89,"[-0.3422035  -0.20982334  1.3208947  -0.84491634 -1.1552402  -0.646315
  0.00240167  1.5610665  -0.87773794  1.191874    1.2350141   1.3305975
 -0.88883597 -0.6267156   1.1607653   0.83117527 -0.4470174  -0.9162767
 -0.70743024 -0.97127503]"
90,"[-0.1510931  -0.22991857  0.9139096  -1.0052221  -1.2384275  -0.23495857
  0.21355914  1.1259665  -1.1098055   1.71599    -1.0017972  -0.90426356
  1.4857541   1.1128383  -0.99741703 -0.9732396  -0.10293183  1.3338137
  0.02751156  0.01973141]"
91,"[-0.22055748 -0.21658343  1.2823966  -0.9108098  -1.2037735  -0.5049241
  0.07327634  1.4702277  -1.0099593   1.2407075  -0.71988374 -1.4265983
  1.5733687   1.2872217  -0.7384978  -0.73328966 -0.19988991  1.085858
 -0.02060656 -0.10768227]"
92,"[-0.4383176  -0.24814652  1.1584098  -0.88059384 -1.054695   -0.9558104
  0.01821683  1.7500329  -0.48947218  1.140376    1.1450052   1.8963488
 -0.9217572  -0.71887517  0.7396181   0.5348023  -0.41381955 -0.8617175
 -0.7070625  -0.69254297]"
93,"[-0.27410284 -0.22825024  1.3022186  -0.7475847  -1.5968727   0.30463228
 -0.32027483  1.5140828  -0.8655242   0.9116776   1.0931348   1.8907003
 -0.848017   -0.7213872   0.76836514  0.6091538  -0.46642646 -0.8529816
 -0.73576516 -0.73677737]"
94,"[-0.26595977 -0.2505205   1.0382394  -0.9661762  -1.1120387  -0.9772159
  0.16547067  1.7359657  -0.5272887   1.1595237   1.153032    1.6602829
 -0.93158066 -0.8568935   0.9157517   0.75708455 -0.5751749  -0.91455245
 -0.6445128  -0.5634377 ]"
95,"[-0.23095849 -0.23055479  1.1686385  -0.8953533  -1.4999188   0.32973292
 -0.09339735  1.1492682  -1.0719091   1.3744527  -1.0027639  -0.96041894
  1.4608394   1.2018465  -0.97193664 -0.91989034 -0.11889388  1.2994215
  0.00335253  0.0084438 ]"
96,"[-0.2588568  -0.22550517  1.38854    -0.71622986 -1.6386586   0.38611785
 -0.38209057  1.5010229  -0.8037921   0.74945223  1.1160319   1.8917252
 -0.88493395 -0.71946514  0.7226457   0.617261   -0.46821502 -0.8677055
 -0.77235854 -0.63498586]"
97,"[-0.17926028 -0.22584619  1.0029181  -0.9927991  -1.1837313  -0.44235802
  0.20987153  1.2079738  -1.0480639   1.6512961   1.0798569   1.837461
 -0.9081743  -0.6316487   0.7512085   0.72719425 -0.4687977  -0.89400166
 -0.8060408  -0.6870578 ]"
